"구분(1)",2022,2022,2022,2022,2022,2022,2022
"구분(1)",5분미만,5분~10분,10분~15분,15분~20분,20분~25분,25분~30분,30분 이상
"전체",13.1,44.5,28.8,8.5,3.1,0.5,1.5
"서울",13.1,42.9,29.8,8.9,3.1,0.6,1.5
"부산",14.6,43.2,29.7,8.8,2.0,0.5,1.2
"대구",13.8,45.0,28.7,8.1,2.7,0.4,1.3
"인천",13.3,46.1,28.0,8.1,2.7,0.6,1.2
"광주",14.3,45.0,28.1,9.2,1.9,0.5,1.0
"대전",15.0,44.5,27.8,9.0,1.9,0.9,1.0
"울산",16.1,44.2,27.1,8.7,1.8,1.4,0.8
"세종",11.9,48.0,26.4,8.1,3.0,0.5,2.0
"경기",11.2,51.9,26.4,7.4,2.5,0.2,0.4
"강원",12.7,44.9,28.9,7.9,3.5,0.4,1.7
"충북",13.5,44.5,28.0,8.7,3.4,0.4,1.4
"충남",11.7,45.6,28.5,8.3,3.7,0.5,1.7
"전북",12.0,45.7,28.5,8.7,2.9,0.6,1.7
"전남",12.2,44.5,30.3,8.0,3.3,0.3,1.5
"경북",12.7,42.7,28.9,10.1,3.7,0.6,1.4
"경남",12.6,45.1,27.9,9.0,3.4,0.3,1.7
"제주",12.2,45.4,28.6,8.3,3.3,0.6,1.7
